Date,Time,Elapsed (s),246A Temp,246B Temp,246C Temp, Flags,
05/20/2024,19:59:55:727,0.000,21.31,20.96,21.59,,
05/20/2024,19:59:56:227,0.500,21.30,20.97,21.59,,
05/20/2024,19:59:56:727,1.000,21.30,20.97,21.59,,
05/20/2024,19:59:57:227,1.500,21.29,20.96,21.60,,
05/20/2024,19:59:57:727,2.000,21.29,20.96,21.60,,
05/20/2024,19:59:58:227,2.500,21.29,20.96,21.60,,
05/20/2024,19:59:58:727,3.000,21.29,20.97,21.59,,
05/20/2024,19:59:59:227,3.500,21.30,20.98,21.59,,
05/20/2024,19:59:59:727,4.000,21.31,20.96,21.59,,
05/20/2024,20:00:00:227,4.500,21.31,20.96,21.60,,
05/20/2024,20:00:00:727,5.000,21.31,20.96,21.60,,
05/20/2024,20:00:01:227,5.500,21.31,20.96,21.59,,
05/20/2024,20:00:01:727,6.000,21.31,20.96,21.59,,
05/20/2024,20:00:02:227,6.500,21.31,20.96,21.59,,
05/20/2024,20:00:02:727,7.000,21.31,20.95,21.60,,
05/20/2024,20:00:03:227,7.500,21.31,20.95,21.60,,
05/20/2024,20:00:03:727,8.000,21.31,20.96,21.59,,
05/20/2024,20:00:04:227,8.500,21.30,20.97,21.59,,
05/20/2024,20:00:04:727,9.000,21.30,20.97,21.59,,
05/20/2024,20:00:05:227,9.500,21.30,20.97,21.60,,
05/20/2024,20:00:05:727,10.000,21.30,20.96,21.60,,
05/20/2024,20:00:06:227,10.500,21.30,20.97,21.60,,
05/20/2024,20:00:06:727,11.000,21.30,20.97,21.59,,
05/20/2024,20:00:07:227,11.500,21.31,20.96,21.59,,
05/20/2024,20:00:07:727,12.000,21.31,20.95,21.59,,
05/20/2024,20:00:08:227,12.500,21.31,20.95,21.59,,
05/20/2024,20:00:08:727,13.000,21.31,20.95,21.58,,
05/20/2024,20:00:09:227,13.500,21.31,20.95,21.59,,
05/20/2024,20:00:09:727,14.000,21.31,20.94,21.59,,
05/20/2024,20:00:10:227,14.500,21.31,20.94,21.59,,
05/20/2024,20:00:10:727,15.000,21.32,20.94,21.60,,
05/20/2024,20:00:11:227,15.500,21.32,20.94,21.59,,
05/20/2024,20:00:11:727,16.000,21.32,20.95,21.59,,
05/20/2024,20:00:12:227,16.500,21.32,20.94,21.59,,
05/20/2024,20:00:12:727,17.000,21.32,20.93,21.60,,
05/20/2024,20:00:13:227,17.500,21.32,20.94,21.60,,
05/20/2024,20:00:13:727,18.000,21.31,20.94,21.60,,
05/20/2024,20:00:14:227,18.500,21.30,20.95,21.60,,
05/20/2024,20:00:14:727,19.000,21.30,20.95,21.60,,
05/20/2024,20:00:15:227,19.500,21.30,20.96,21.59,,
05/20/2024,20:00:15:727,20.000,21.30,20.96,21.59,,
05/20/2024,20:00:16:227,20.500,21.30,20.96,21.59,,
05/20/2024,20:00:16:727,21.000,21.30,20.96,21.60,,
05/20/2024,20:00:17:227,21.500,21.30,20.96,21.60,,
05/20/2024,20:00:17:727,22.000,21.30,20.96,21.60,,
05/20/2024,20:00:18:227,22.500,21.30,20.97,21.59,,
05/20/2024,20:00:18:727,23.000,21.30,20.96,21.59,,
05/20/2024,20:00:19:227,23.500,21.31,20.96,21.60,,
05/20/2024,20:00:19:727,24.000,21.31,20.95,21.60,,
05/20/2024,20:00:20:227,24.500,21.31,20.95,21.59,,
05/20/2024,20:00:20:727,25.000,21.31,20.95,21.59,,
05/20/2024,20:00:21:227,25.500,21.31,20.95,21.59,,
05/20/2024,20:00:21:727,26.000,21.32,20.94,21.59,,
05/20/2024,20:00:22:227,26.500,21.31,20.95,21.59,,
05/20/2024,20:00:22:727,27.000,21.31,20.96,21.59,,
05/20/2024,20:00:23:227,27.500,21.30,20.97,21.59,,
05/20/2024,20:00:23:727,28.000,21.30,20.97,21.59,,
05/20/2024,20:00:24:227,28.500,21.30,20.97,21.60,,
05/20/2024,20:00:24:727,29.000,21.30,20.96,21.60,,
05/20/2024,20:00:25:227,29.500,21.30,20.97,21.60,,
05/20/2024,20:00:25:727,30.000,21.30,20.96,21.59,,
05/20/2024,20:00:26:227,30.500,21.31,20.95,21.59,,
05/20/2024,20:00:26:727,31.000,21.31,20.95,21.59,,
05/20/2024,20:00:27:227,31.500,21.31,20.95,21.59,,
05/20/2024,20:00:27:727,32.000,21.31,20.95,21.59,,
05/20/2024,20:00:28:227,32.500,21.31,20.95,21.59,,
05/20/2024,20:00:28:727,33.000,21.31,20.95,21.59,,
05/20/2024,20:00:29:227,33.500,21.31,20.94,21.59,,
05/20/2024,20:00:29:727,34.000,21.31,20.93,21.59,,
05/20/2024,20:00:30:227,34.500,21.31,20.93,21.59,,
05/20/2024,20:00:30:727,35.000,21.31,20.94,21.58,,
05/20/2024,20:00:31:227,35.500,21.32,20.94,21.59,,
05/20/2024,20:00:31:727,36.000,21.32,20.94,21.59,,
05/20/2024,20:00:32:227,36.500,21.32,20.94,21.60,,
05/20/2024,20:00:32:727,37.000,21.31,20.95,21.59,,
05/20/2024,20:00:33:227,37.500,21.31,20.95,21.60,,
05/20/2024,20:00:33:727,38.000,21.30,20.95,21.60,,
05/20/2024,20:00:34:227,38.500,21.30,20.96,21.60,,
05/20/2024,20:00:34:727,39.000,21.30,20.96,21.59,,
05/20/2024,20:00:35:227,39.500,21.30,20.97,21.58,,
05/20/2024,20:00:35:727,40.000,21.30,20.97,21.58,,
05/20/2024,20:00:36:227,40.500,21.30,20.97,21.60,,
05/20/2024,20:00:36:727,41.000,21.30,20.96,21.60,,
05/20/2024,20:00:37:227,41.500,21.30,20.96,21.59,,
05/20/2024,20:00:37:727,42.000,21.30,20.97,21.59,,
05/20/2024,20:00:38:227,42.500,21.30,20.97,21.59,,
05/20/2024,20:00:38:727,43.000,21.31,20.96,21.59,,
05/20/2024,20:00:39:227,43.500,21.31,20.96,21.59,,
05/20/2024,20:00:39:727,44.000,21.31,20.96,21.59,,
05/20/2024,20:00:40:227,44.500,21.31,20.95,21.59,,
05/20/2024,20:00:40:727,45.000,21.31,20.94,21.59,,
05/20/2024,20:00:41:227,45.500,21.31,20.94,21.60,,
05/20/2024,20:00:41:727,46.000,21.31,20.95,21.60,,
05/20/2024,20:00:42:227,46.500,21.31,20.96,21.59,,
05/20/2024,20:00:42:727,47.000,21.30,20.97,21.59,,
05/20/2024,20:00:43:227,47.500,21.30,20.96,21.60,,
05/20/2024,20:00:43:727,48.000,21.30,20.96,21.60,,
05/20/2024,20:00:44:227,48.500,21.30,20.96,21.59,,
05/20/2024,20:00:44:727,49.000,21.30,20.97,21.59,,
05/20/2024,20:00:45:227,49.500,21.31,20.95,21.60,,
05/20/2024,20:00:45:727,50.000,21.31,20.94,21.60,,
05/20/2024,20:00:46:227,50.500,21.31,20.94,21.60,,
05/20/2024,20:00:46:727,51.000,21.31,20.95,21.59,,
05/20/2024,20:00:47:227,51.500,21.31,20.95,21.59,,
05/20/2024,20:00:47:727,52.000,21.31,20.95,21.59,,
05/20/2024,20:00:48:227,52.500,21.31,20.94,21.59,,
05/20/2024,20:00:48:727,53.000,21.31,20.94,21.60,,
05/20/2024,20:00:49:227,53.500,21.31,20.93,21.60,,
05/20/2024,20:00:49:727,54.000,21.31,20.94,21.59,,
05/20/2024,20:00:50:227,54.500,21.31,20.94,21.59,,
05/20/2024,20:00:50:727,55.000,21.32,20.93,21.60,,
05/20/2024,20:00:51:227,55.500,21.32,20.93,21.60,,
05/20/2024,20:00:51:727,56.000,21.31,20.94,21.59,,
05/20/2024,20:00:52:227,56.500,21.31,20.94,21.59,,
05/20/2024,20:00:52:727,57.000,21.30,20.94,21.59,,
05/20/2024,20:00:53:227,57.500,21.30,20.95,21.59,,
05/20/2024,20:00:53:727,58.000,21.30,20.96,21.58,,
05/20/2024,20:00:54:227,58.500,21.30,20.96,21.58,,
05/20/2024,20:00:54:727,59.000,21.30,20.95,21.59,,
05/20/2024,20:00:55:227,59.500,21.31,20.95,21.59,,
